"City (S)","BarID (S)","Close (S)","Location (M)","Name (S)","Open (S)","State (S)","Tier (S)","Zip (S)","happyHours (M)","happyStatus (S)"
"Brooklyn","10","4:00:00 ","{  ""Latitude"" : { ""S"" : ""40.670115"" },  ""Longitude"" : { ""S"" : ""-73.984337"" }}","Barbès","11:30:00 ","NY","1","11215","{  ""Discount"" : { ""S"" : ""50"" },  ""End"" : { ""S"" : ""16:00:00 "" },  ""Start"" : { ""S"" : ""15:00:00 "" }}","1"
"Brooklyn","11","2:00:00 ","{  ""Latitude"" : { ""S"" : ""40.678667"" },  ""Longitude"" : { ""S"" : ""-73.968385"" }}","Soda Bar","11:30:00 ","NY","1","11238","{  ""Discount"" : { ""S"" : ""50"" },  ""End"" : { ""S"" : ""16:00:00 "" },  ""Start"" : { ""S"" : ""15:00:00 "" }}","1"
"Brooklyn","12","2:00:00 ","{  ""Latitude"" : { ""S"" : ""40.67511"" },  ""Longitude"" : { ""S"" : ""-73.967302"" }}","Bar Sepia","11:30:00 ","NY","1","11238","{  ""Discount"" : { ""S"" : ""50"" },  ""End"" : { ""S"" : ""15:00:00 "" },  ""Start"" : { ""S"" : ""13:00:00 "" }}","1"
"Brooklyn","13","4:00:00 ","{  ""Latitude"" : { ""S"" : ""40.686176"" },  ""Longitude"" : { ""S"" : ""-73.993867"" }}","June","11:30:00 ","NY","1","11201","{  ""Discount"" : { ""S"" : ""50"" },  ""End"" : { ""S"" : ""16:00:00 "" },  ""Start"" : { ""S"" : ""15:00:00 "" }}","1"
"Brooklyn","14","2:00:00 ","{  ""Latitude"" : { ""S"" : ""40.688297"" },  ""Longitude"" : { ""S"" : ""-73.986472"" }}","Grand Army","12:00:00 ","NY","1","11217","{  ""Discount"" : { ""S"" : ""50"" },  ""End"" : { ""S"" : ""15:00:00 "" },  ""Start"" : { ""S"" : ""13:00:00 "" }}","1"
"Brooklyn","15","4:00:00 ","{  ""Latitude"" : { ""S"" : ""40.68896"" },  ""Longitude"" : { ""S"" : ""-73.988776"" }}","Misdemeanor","11:00:00 ","NY","2","11201","{  ""Discount"" : { ""S"" : ""50"" },  ""End"" : { ""S"" : ""16:00:00 "" },  ""Start"" : { ""S"" : ""15:00:00 "" }}","0"
"Brooklyn","8","4:00:00 ","{  ""Latitude"" : { ""S"" : ""40.714524"" },  ""Longitude"" : { ""S"" : ""-73.961712"" }}","Maison Premiere","11:30:00 ","NY","1","11249","{  ""Discount"" : { ""S"" : ""50"" },  ""End"" : { ""S"" : ""15:00:00 "" },  ""Start"" : { ""S"" : ""13:00:00 "" }}","1"
"Manhattan","1","4:00:00 ","{  ""Latitude"" : { ""S"" : ""40.72856"" },  ""Longitude"" : { ""S"" : ""-73.999514"" }}","The Red Lion","11:00:00 ","NY","1","10012","{  ""Discount"" : { ""S"" : ""50"" },  ""End"" : { ""S"" : ""17:00:00 "" },  ""Start"" : { ""S"" : ""15:00:00 "" }}","1"
"Manhattan","16","4:00:00 ","{  ""Latitude"" : { ""S"" : ""40.729828"" },  ""Longitude"" : { ""S"" : ""-73.989635"" }}","McSorley's Old Ale House","12:00:00 ","NY","2","10003","{  ""Discount"" : { ""S"" : ""50"" },  ""End"" : { ""S"" : ""16:00:00 "" },  ""Start"" : { ""S"" : ""15:00:00 "" }}","0"
"Manhattan","17","4:00:00 ","{  ""Latitude"" : { ""S"" : ""40.709225"" },  ""Longitude"" : { ""S"" : ""-74.009338"" }}","Pound & Pence","11:00:00 ","NY","2","10005","{  ""Discount"" : { ""S"" : ""50"" },  ""End"" : { ""S"" : ""15:00:00 "" },  ""Start"" : { ""S"" : ""13:00:00 "" }}","0"
"Manhattan","18","2:00:00 ","{  ""Latitude"" : { ""S"" : ""40.75656"" },  ""Longitude"" : { ""S"" : ""-73.977753"" }}","Connolly's Pub","12:00:00 ","NY","1","10017","{  ""Discount"" : { ""S"" : ""50"" },  ""End"" : { ""S"" : ""17:00:00 "" },  ""Start"" : { ""S"" : ""15:00:00 "" }}","0"
"Manhattan","19","4:00:00 ","{  ""Latitude"" : { ""S"" : ""40.759977"" },  ""Longitude"" : { ""S"" : ""-73.973216"" }}","The Monkey Bar","12:00:00 ","NY","1","10022","{  ""Discount"" : { ""S"" : ""50"" },  ""End"" : { ""S"" : ""16:00:00 "" },  ""Start"" : { ""S"" : ""13:00:00 "" }}","0"
"Manhattan","2","4:00:00 ","{  ""Latitude"" : { ""S"" : ""40.724708"" },  ""Longitude"" : { ""S"" : ""-73.994714"" }}","Botanica Bar","11:30:00 ","NY","2","10012","{  ""Discount"" : { ""S"" : ""50"" },  ""End"" : { ""S"" : ""18:00:00 "" },  ""Start"" : { ""S"" : ""16:00:00 "" }}","0"
"Manhattan","20","2:00:00 ","{  ""Latitude"" : { ""S"" : ""40.716502"" },  ""Longitude"" : { ""S"" : ""-73.999755"" }}","Whiskey Tavern","11:00:00 ","NY","1","10013","{  ""Discount"" : { ""S"" : ""50"" },  ""End"" : { ""S"" : ""16:00:00 "" },  ""Start"" : { ""S"" : ""14:00:00 "" }}","1"
"Manhattan","21","4:00:00 ","{  ""Latitude"" : { ""S"" : ""40.707496"" },  ""Longitude"" : { ""S"" : ""-74.002426"" }}","Fresh Salt","12:00:00 ","NY","1","10038","{  ""Discount"" : { ""S"" : ""50"" },  ""End"" : { ""S"" : ""16:00:00 "" },  ""Start"" : { ""S"" : ""15:00:00 "" }}","1"
"Manhattan","22","4:00:00 ","{  ""Latitude"" : { ""S"" : ""40.711056"" },  ""Longitude"" : { ""S"" : ""-74.006342"" }}","The Beekman Pub","11:00:00 ","NY","2","10038","{  ""Discount"" : { ""S"" : ""50"" },  ""End"" : { ""S"" : ""15:00:00 "" },  ""Start"" : { ""S"" : ""13:00:00 "" }}","0"
"Manhattan","23","11:00:00 ","{  ""Latitude"" : { ""S"" : ""40.714986"" },  ""Longitude"" : { ""S"" : ""-74.008275"" }}","Patriot Saloon","12:00:00 ","NY","1","10007","{  ""Discount"" : { ""S"" : ""50"" },  ""End"" : { ""S"" : ""16:00:00 "" },  ""Start"" : { ""S"" : ""15:00:00 "" }}","0"
"Manhattan","24","4:00:00 ","{  ""Latitude"" : { ""S"" : ""40.727539"" },  ""Longitude"" : { ""S"" : ""-73.988073"" }}","Mayahuel","12:00:00 ","NY","1","10003","{  ""Discount"" : { ""S"" : ""50"" },  ""End"" : { ""S"" : ""16:00:00 "" },  ""Start"" : { ""S"" : ""15:00:00 "" }}","1"
